URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/condition-ver-status,4.3.0,draft,"2.16.840.1.113883.4.642.3.166",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","StructureDefinition/pacific-condition","THO"
http://hl7.org/fhir/ValueSet/contactentity-type,4.3.0,draft,"2.16.840.1.113883.4.642.3.416",ContactEntityType,,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","StructureDefinition/pacific-organization","THO"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.3.0,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/pacific-vital-blood-pressure,StructureDefinition/pacific-vital-body-temperature,StructureDefinition/pacific-vital-bmi,StructureDefinition/pacific-vital-heart-rate,StructureDefinition/pacific-vital-height,StructureDefinition/pacific-vital-respiratory-rate,StructureDefinition/pacific-observation,StructureDefinition/pacific-vital-oxygen-saturation,StructureDefinition/pacific-vital-weight","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.3.0,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/pacific-practitioner-role","hl7.fhir.r4b.core"
http://hl7.org/fhir/ValueSet/languages,4.3.0,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/pacific-vital-blood-pressure,StructureDefinition/pacific-vital-bmi,StructureDefinition/pacific-vital-heart-rate,StructureDefinition/pacific-patient,StructureDefinition/pacific-vital-weight,StructureDefinition/pacific-vital-body-temperature,StructureDefinition/pacific-allergy-intolerance,StructureDefinition/pacific-condition,StructureDefinition/pacific-vital-height,StructureDefinition/pacific-vital-respiratory-rate,StructureDefinition/pacific-practitioner-role,StructureDefinition/pacific-observation,StructureDefinition/pacific-vital-oxygen-saturation,StructureDefinition/pacific-practitioner,StructureDefinition/pacific-organization","Other"
http://hl7.org/fhir/ValueSet/link-type,4.3.0,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/pacific-patient","hl7.fhir.r4b.core"
http://hl7.org/fhir/ValueSet/manifestation-or-symptom,4.3.0,draft,"2.16.840.1.113883.4.642.3.169",ManifestationAndSymptomCodes,Manifestation and Symptom Codes,"Example value set for Manifestation and Symptom codes.","StructureDefinition/pacific-condition","SCT"
http://hl7.org/fhir/ValueSet/marital-status,4.3.0,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/pacific-patient","THO (V3)"
http://hl7.org/fhir/ValueSet/name-use,4.3.0,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/pacific-humanname,StructureDefinition/pacific-practitioner","hl7.fhir.r4b.core"
http://hl7.org/fhir/ValueSet/observation-codes,4.3.0,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/pacific-vital-blood-pressure,StructureDefinition/pacific-vital-body-temperature,StructureDefinition/pacific-vital-bmi,StructureDefinition/pacific-vital-heart-rate,StructureDefinition/pacific-vital-height,StructureDefinition/pacific-vital-respiratory-rate,StructureDefinition/pacific-observation,StructureDefinition/pacific-vital-oxygen-saturation,StructureDefinition/pacific-vital-weight","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.3.0,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/pacific-vital-blood-pressure,StructureDefinition/pacific-vital-body-temperature,StructureDefinition/pacific-vital-bmi,StructureDefinition/pacific-vital-heart-rate,StructureDefinition/pacific-vital-height,StructureDefinition/pacific-vital-respiratory-rate,StructureDefinition/pacific-observation,StructureDefinition/pacific-vital-oxygen-saturation,StructureDefinition/pacific-vital-weight","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.3.0,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/pacific-vital-blood-pressure,StructureDefinition/pacific-vital-body-temperature,StructureDefinition/pacific-vital-bmi,StructureDefinition/pacific-vital-heart-rate,StructureDefinition/pacific-vital-height,StructureDefinition/pacific-vital-respiratory-rate,StructureDefinition/pacific-observation,StructureDefinition/pacific-vital-oxygen-saturation,StructureDefinition/pacific-vital-weight","SCT"
